From,To,weight
Gorbag,Muzgash,1
Gorbag,Radbug,1
Lagduf,Muzgash,1
Lagduf,Radbug,1
Muzgash,Radbug,1
Nob,Radbug,1
Frodo,Rosie Cotton,1
Aragorn,Landroval,1
Aragorn,Meneldor,1
Frodo,Landroval,1
Frodo,Meneldor,1
Bilbo,Landroval,1
Bilbo,Meneldor,1
Elrond,Landroval,1
Elrond,Meneldor,1
Eomer,Landroval,1
Eomer,Meneldor,1
Galadriel,Landroval,1
Galadriel,Meneldor,1
Sam,Landroval,1
Sam,Meneldor,1
Gandalf,Landroval,1
Gandalf,Meneldor,1
Gimli,Landroval,1
Gimli,Meneldor,1
Gwaihir,Landroval,1
Gwaihir,Meneldor,1
Imrahil,Landroval,1
Imrahil,Meneldor,1
Landroval,Meneldor,1
Legolas,Meneldor,1
Arwen,Ioreth,1
Frodo,Ioreth,1
Bilbo,Ioreth,1
Celeborn,Ioreth,1
Elfhelm,Ioreth,1
Erestor,Ioreth,1
Gimli,Ioreth,1
Glorfindel,Ioreth,1
Hurin,Ioreth,1
Frodo,Willie Banks,1
Frodo,Mat Heathertoes,1
Willie Banks,Mat Heathertoes,1
Bob,Mat Heathertoes,1
Bill Ferny,Mat Heathertoes,1
Sam,Mat Heathertoes,1
Gandalf,Mat Heathertoes,1
Frodo,Hob Hayward,1
Frodo,Robin Smallburrow,1
Bilbo,Hob Hayward,1
Bilbo,Robin Smallburrow,1
Bill Ferny,Hob Hayward,1
Bill Ferny,Robin Smallburrow,1
Bill Ferny,Will Whitfoot,1
Sam,Hob Hayward,1
Sam,Robin Smallburrow,1
Gandalf,Hob Hayward,1
Gandalf,Robin Smallburrow,1
Hob Hayward,Robin Smallburrow,1
Hob Hayward,Will Whitfoot,1
Ted Sandyman,Robin Smallburrow,1
Ted Sandyman,Will Whitfoot,1
Saruman,Robin Smallburrow,1
Saruman,Will Whitfoot,1
Robin Smallburrow,Will Whitfoot,1
Frodo,Widow Rumble,1
Bilbo,Widow Rumble,1
Fredegar Bolger,Will Whitfoot,1
Fredegar Bolger,Widow Rumble,1
Elrond,Will Whitfoot,1
Elrond,Widow Rumble,1
Galadriel,Will Whitfoot,1
Galadriel,Widow Rumble,1
Sam,Widow Rumble,1
Gandalf,Widow Rumble,1
Will Whitfoot,Widow Rumble,1
